Date,Year,Open,High,Low,Close,Volume,Adj Close
03-09-2020,2020,135.7433319,143.9333344,134,135.6666718,262788300,135.6666718
04-09-2020,2020,134.2700043,142.6666718,124.0066681,139.4400024,330965700,139.4400024
08-09-2020,2020,118.6666641,122.9133301,109.9599991,110.0699997,346397100,110.0699997
09-09-2020,2020,118.8666687,123,113.8366699,122.0933304,238397400,122.0933304
10-09-2020,2020,128.7366638,132.9966736,120.1866684,123.7799988,254791800,123.7799988
11-09-2020,2020,127.3133316,127.5,120.1666641,124.2399979,182152500,124.2399979
14-09-2020,2020,126.9833298,140,124.4333344,139.8733368,249061800,139.8733368
15-09-2020,2020,145.5200043,153.9799957,143.5666656,149.9199982,291894600,149.9199982
16-09-2020,2020,146.6233368,152.5966644,145.1033325,147.2533264,216837900,147.2533264
17-09-2020,2020,138.5333405,145.9299927,136,141.1433258,230337600,141.1433258
18-09-2020,2020,149.3133392,150.3333282,142.9333344,147.3833313,259220400,147.3833313
21-09-2020,2020,151.043335,151.8933258,135.6900024,149.7966614,328430400,149.7966614
22-09-2020,2020,143.1999969,145.9199982,139.1999969,141.4100037,238742400,141.4100037
23-09-2020,2020,135.0533295,137.3833313,125.293335,126.7866669,285222600,126.7866669
24-09-2020,2020,121.2666702,133.1666718,117.0999985,129.2633362,289683300,129.2633362
25-09-2020,2020,131.156662,136.2433319,130.4333344,135.7799988,201625500,135.7799988
28-09-2020,2020,141.5399933,142.6933289,138.5166626,140.3999939,149158800,140.3999939
29-09-2020,2020,138.6666718,142.8333282,137.1999969,139.6900024,150657900,139.6900024
30-09-2020,2020,140.4400024,144.6433258,140.156662,143.0033264,144436800,143.0033264
01-10-2020,2020,146.9199982,149.6266632,144.8066711,149.386673,152224500,149.386673
02-10-2020,2020,140.4633331,146.3766632,138.3333282,138.363327,214290000,138.363327
05-10-2020,2020,141.1166687,144.5466614,139.7766724,141.8933258,134168400,141.8933258
06-10-2020,2020,141.2633362,142.9266663,135.3500061,137.9933319,147438900,137.9933319
07-10-2020,2020,139.956665,143.3000031,137.9499969,141.7666626,129383100,141.7666626
08-10-2020,2020,146.1466675,146.3333282,141.7666626,141.9733276,121263300,141.9733276
09-10-2020,2020,143.3766632,144.863327,142.1533356,144.6666718,86777100,144.6666718
12-10-2020,2020,147.3333282,149.5800018,146.1933289,147.4333344,116373300,147.4333344
13-10-2020,2020,147.7833405,149.6300049,145.5333405,148.8833313,103391100,148.8833313
14-10-2020,2020,149.9266663,155.3000031,149.1166687,153.7666626,143639100,153.7666626
15-10-2020,2020,150.1033325,152.1900024,147.5,149.6266632,107017200,149.6266632
16-10-2020,2020,151.4799957,151.9833374,146.2833405,146.5566711,98327700,146.5566711
19-10-2020,2020,148.7466736,149,142.956665,143.6100006,108863400,143.6100006
20-10-2020,2020,143.9166718,143.9166718,139.6833344,140.6466675,94968900,140.6466675
21-10-2020,2020,140.8999939,144.3166656,140.4166718,140.8800049,97111500,140.8800049
22-10-2020,2020,147.3066711,148.4100037,141.5033264,141.9299927,119979600,141.9299927
23-10-2020,2020,140.613327,140.9633331,135.793335,140.2100067,101151000,140.2100067
27-10-2020,2020,141.2533264,143.5,140.0333405,141.5599976,68059500,141.5599976
28-10-2020,2020,138.8266602,139.5333405,135.3333282,135.3399963,76354200,135.3399963
29-10-2020,2020,136.6533356,139.3533325,135.4866638,136.9433289,67965900,136.9433289
30-10-2020,2020,135.6333313,135.863327,126.3700027,129.3466644,127533900,129.3466644
02-11-2020,2020,131.3333282,135.6600037,130.7666626,133.5033264,87063300,133.5033264
03-11-2020,2020,136.5766602,142.5899963,135.5633392,141.3000031,103055100,141.3000031
04-11-2020,2020,143.5399933,145.1333313,139.0333405,140.3266602,96429300,140.3266602
05-11-2020,2020,142.7666626,146.6666718,141.3333282,146.0299988,85243500,146.0299988
06-11-2020,2020,145.3666687,145.5233307,141.4266663,143.3166656,65118000,143.3166656
09-11-2020,2020,146.5,150.8333282,140.3333282,140.4199982,104499000,140.4199982
10-11-2020,2020,140.0299988,140.0299988,132.0099945,136.7866669,90852600,136.7866669
11-11-2020,2020,138.8166656,139.5666656,136.8600006,139.043335,52073100,139.043335
12-11-2020,2020,138.3500061,141,136.5066681,137.2533264,59565300,137.2533264
13-11-2020,2020,136.9499969,137.5099945,133.886673,136.1666718,59313300,136.1666718
16-11-2020,2020,136.3099976,137.4833374,134.6966705,136.0299988,80515800,136.0299988
17-11-2020,2020,153.3899994,154,144.3366699,147.2033386,183564900,147.2033386
18-11-2020,2020,149.4499969,165.3333282,147.8333282,162.2133331,234132000,162.2133331
19-11-2020,2020,164,169.5366669,162.5233307,166.4233398,187425900,166.4233398
20-11-2020,2020,165.9966736,167.5,163.0200043,163.2033386,98735700,163.2033386
23-11-2020,2020,167.8333282,175.3333282,167.2633362,173.9499969,150780900,173.9499969
24-11-2020,2020,180.1333313,186.6633301,175.3999939,185.1266632,160945500,185.1266632
25-11-2020,2020,183.3533325,191.3333282,181.7899933,191.3333282,146790600,191.3333282
27-11-2020,2020,193.7200012,199.593338,192.8166656,195.2533264,112683300,195.2533264
30-11-2020,2020,200.7366638,202.6000061,184.8366699,189.1999969,189009300,189.1999969
01-12-2020,2020,199.1966705,199.2833405,190.6833344,194.9199982,120310500,194.9199982
02-12-2020,2020,185.4799957,190.5133362,180.4033356,189.6066742,143327100,189.6066742
03-12-2020,2020,196.6733398,199.656662,194.1433258,197.793335,127656000,197.793335
04-12-2020,2020,197.0033264,199.6799927,195.1666718,199.6799927,88203900,199.6799927
07-12-2020,2020,201.6399994,216.2633362,201.0166626,213.9199982,168929100,213.9199982
08-12-2020,2020,208.5033264,217.093338,206.1666718,216.6266632,192795000,216.6266632
09-12-2020,2020,217.8966675,218.1066742,196,201.4933319,213873600,201.4933319
10-12-2020,2020,191.456665,209.25,188.7799988,209.0233307,201249600,209.0233307
11-12-2020,2020,205.0033264,208,198.9333344,203.3300018,139425000,203.3300018
14-12-2020,2020,206.3333282,214.25,203.3999939,213.2766724,156121800,213.2766724
15-12-2020,2020,214.4266663,215.6333313,207.9333344,211.0833282,135214500,211.0833282
16-12-2020,2020,209.4100037,210.8333282,201.6666718,207.5899963,126287400,207.5899963
17-12-2020,2020,209.3966675,219.6066742,206.5,218.6333313,168810300,218.6333313
18-12-2020,2020,222.9666595,231.6666718,209.5133362,231.6666718,666378600,231.6666718
21-12-2020,2020,222.0800018,222.8333282,215.3566742,216.6199951,174135900,216.6199951
22-12-2020,2020,216,216.6266632,204.7433319,213.4466705,155148000,213.4466705
23-12-2020,2020,210.7333374,217.1666718,207.5233307,215.3266602,99519000,215.3266602
24-12-2020,2020,214.3300018,222.0299988,213.6666718,220.5899963,68596800,220.5899963
28-12-2020,2020,224.8366699,227.1333313,220.2666626,221.2299957,96835800,221.2299957
29-12-2020,2020,220.3333282,223.3000031,218.3333282,221.9966736,68732400,221.9966736
30-12-2020,2020,224,232.1999969,222.7866669,231.593338,128538000,231.593338
31-12-2020,2020,233.3300018,239.5733337,230.3733368,235.2233276,148949700,235.2233276
04-01-2021,2021,239.8200073,248.1633301,239.0633392,243.2566681,145914600,243.2566681
05-01-2021,2021,241.2200012,246.9466705,239.7333374,245.0366669,96735600,245.0366669
06-01-2021,2021,252.8300018,258,249.6999969,251.9933319,134100000,251.9933319
07-01-2021,2021,259.2099915,272.3299866,258.3999939,272.0133362,154496700,272.0133362
08-01-2021,2021,285.3333435,294.8299866,279.4633179,293.3399963,225166500,293.3399963
11-01-2021,2021,283.1333313,284.8099976,267.8733215,270.3966675,177904800,270.3966675
